Month	random	Date	lowci	highci	med	Lower CI	Median	Number of Records	Upper CI	Year 	Year Original
1	0.007409984	1/1/1965	cooler	cooler	cooler	-0.068	-0.103	1	-0.127	1965	1965/01
2	0.831713338	2/1/1965	cooler	cooler	cooler	-0.209	-0.244	1	-0.27	1965	1965/02
3	0.62184024	3/1/1965	cooler	cooler	cooler	-0.171	-0.215	1	-0.246	1965	1965/03
4	0.752491531	4/1/1965	cooler	cooler	cooler	-0.22	-0.255	1	-0.276	1965	1965/04
5	0.2430298	5/1/1965	cooler	cooler	cooler	-0.125	-0.159	1	-0.186	1965	1965/05
6	0.290787242	6/1/1965	cooler	cooler	cooler	-0.076	-0.11	1	-0.138	1965	1965/06
7	0.219597026	7/1/1965	cooler	cooler	cooler	-0.145	-0.181	1	-0.206	1965	1965/07
8	0.36852058	8/1/1965	cooler	cooler	cooler	-0.072	-0.112	1	-0.137	1965	1965/08
9	0.778256585	9/1/1965	cooler	cooler	cooler	-0.064	-0.095	1	-0.121	1965	1965/09
10	0.957433643	10/1/1965	warmer	cooler	cooler	0.003	-0.03	1	-0.054	1965	1965/10
11	0.474238915	11/1/1965	cooler	cooler	cooler	-0.108	-0.14	1	-0.17	1965	1965/11
12	0.784861578	12/1/1965	cooler	cooler	cooler	-0.034	-0.066	1	-0.096	1965	1965/12
1	0.405737133	1/1/1966	cooler	cooler	cooler	-0.063	-0.096	1	-0.123	1966	1966/01
2	0.494299242	2/1/1966	cooler	cooler	cooler	-0.064	-0.094	1	-0.123	1966	1966/02
3	0.996846794	3/1/1966	cooler	cooler	cooler	-0.03	-0.063	1	-0.091	1966	1966/03
4	0.156026636	4/1/1966	cooler	cooler	cooler	-0.078	-0.107	1	-0.133	1966	1966/04
5	0.497755009	5/1/1966	cooler	cooler	cooler	-0.112	-0.141	1	-0.165	1966	1966/05
6	0.862973411	6/1/1966	warmer	warmer	warmer	0.066	0.035	1	0.011	1966	1966/06
7	0.017384386	7/1/1966	warmer	warmer	warmer	0.063	0.031	1	0.007	1966	1966/07
8	0.941347814	8/1/1966	warmer	cooler	cooler	0.009	-0.022	1	-0.045	1966	1966/08
9	0.140099068	9/1/1966	cooler	cooler	cooler	-0.015	-0.04	1	-0.064	1966	1966/09
10	0.563842749	10/1/1966	cooler	cooler	cooler	-0.073	-0.105	1	-0.129	1966	1966/10
11	0.439891249	11/1/1966	cooler	cooler	cooler	-0.071	-0.096	1	-0.123	1966	1966/11
12	0.77624274	12/1/1966	cooler	cooler	cooler	-0.113	-0.144	1	-0.168	1966	1966/12
1	0.363214502	1/1/1967	cooler	cooler	cooler	-0.144	-0.167	1	-0.188	1967	1967/01
2	0.914428238	2/1/1967	cooler	cooler	cooler	-0.205	-0.235	1	-0.257	1967	1967/02
3	0.572897454	3/1/1967	cooler	cooler	cooler	-0.026	-0.052	1	-0.08	1967	1967/03
4	0.021904246	4/1/1967	cooler	cooler	cooler	-0.037	-0.068	1	-0.089	1967	1967/04
5	0.331416857	5/1/1967	warmer	warmer	warmer	0.099	0.073	1	0.05	1967	1967/05
6	0.850129499	6/1/1967	cooler	cooler	cooler	-0.058	-0.086	1	-0.111	1967	1967/06
7	0.954757631	7/1/1967	cooler	cooler	cooler	-0.029	-0.066	1	-0.09	1967	1967/07
8	0.907389409	8/1/1967	cooler	cooler	cooler	-0.04	-0.065	1	-0.085	1967	1967/08
9	0.191262314	9/1/1967	cooler	cooler	cooler	-0.079	-0.097	1	-0.118	1967	1967/09
10	0.962174744	10/1/1967	warmer	warmer	warmer	0.079	0.06	1	0.046	1967	1967/10
11	0.020548657	11/1/1967	cooler	cooler	cooler	-0.046	-0.064	1	-0.083	1967	1967/11
12	0.457863246	12/1/1967	cooler	cooler	cooler	-0.131	-0.151	1	-0.173	1967	1967/12
1	0.670098003	1/1/1968	cooler	cooler	cooler	-0.224	-0.242	1	-0.263	1968	1968/01
2	0.823590873	2/1/1968	cooler	cooler	cooler	-0.198	-0.214	1	-0.233	1968	1968/02
3	0.810208371	3/1/1968	warmer	warmer	warmer	0.055	0.036	1	0.015	1968	1968/03
4	0.330549504	4/1/1968	cooler	cooler	cooler	-0.15	-0.17	1	-0.188	1968	1968/04
5	0.516468482	5/1/1968	cooler	cooler	cooler	-0.201	-0.221	1	-0.239	1968	1968/05
6	0.648933229	6/1/1968	cooler	cooler	cooler	-0.086	-0.106	1	-0.126	1968	1968/06
7	0.928284994	7/1/1968	cooler	cooler	cooler	-0.086	-0.103	1	-0.122	1968	1968/07
8	0.722443547	8/1/1968	cooler	cooler	cooler	-0.039	-0.06	1	-0.08	1968	1968/08
9	0.076369029	9/1/1968	cooler	cooler	cooler	-0.065	-0.086	1	-0.107	1968	1968/09
10	0.421348902	10/1/1968	warmer	cooler	cooler	0.002	-0.018	1	-0.036	1968	1968/10
11	0.962785904	11/1/1968	cooler	cooler	cooler	-0.051	-0.07	1	-0.094	1968	1968/11
12	0.798338655	12/1/1968	cooler	cooler	cooler	-0.085	-0.11	1	-0.131	1968	1968/12
1	0.023161279	1/1/1969	cooler	cooler	cooler	-0.155	-0.171	1	-0.19	1969	1969/01
2	0.543182317	2/1/1969	cooler	cooler	cooler	-0.152	-0.17	1	-0.19	1969	1969/02
3	0.888207395	3/1/1969	warmer	cooler	cooler	0.014	-0.004	1	-0.024	1969	1969/03
4	0.289281237	4/1/1969	warmer	warmer	warmer	0.131	0.108	1	0.086	1969	1969/04
5	0.94955735	5/1/1969	warmer	warmer	warmer	0.149	0.126	1	0.108	1969	1969/05
6	0.167903435	6/1/1969	warmer	warmer	warmer	0.04	0.023	1	0.003	1969	1969/06
7	0.415182933	7/1/1969	warmer	warmer	warmer	0.055	0.038	1	0.014	1969	1969/07
8	0.93065151	8/1/1969	warmer	warmer	warmer	0.078	0.051	1	0.03	1969	1969/08
9	0.777784422	9/1/1969	warmer	cooler	warmer	0.035	0.015	1	-0.004	1969	1969/09
